IRUC;DEPARTAMENTO;PROVINCIA;DISTRITO;Sexo;Cargo Informante;Cargo Informante otro;DESC_CIIU;Año funcionamiento;Empresa actualmente;Nivel ventas;Porcentaje;Capacidad operativa 2do trimestre;Modalidad ventas segundo trimentre;Disminución de la demanda de sus productos o servicios;Paralización de la producción a causa de la pandemia;Dificultad en la exportación de sus productos;Desabastecimiento de materias primas e insumos del mercado nacional;Desabastecimiento de materias primas e insumos del extranjero;Disminución de la inversión en maquinaria y equipos;Retraso en el pago de facturas;Retraso en el cobro de facturas;Enfermedad de trabajadores por el COVID-19;Pérdida de capital de trabajo;Altos costos para implementar planes de seguridad;¿Otro?;¿Otro? (Especifique);NO TUVO PROBLEMAS;¿Qué porcentaje de trabajadores laboró en la empresa en el segundo trimestre 2020 (Abril-Mayo-Junio); ¿Cuáles son las modalidades que ha adoptado la empresa para las labores de sus trabajadores?;TAMANO_EMPRESA
146683;LIMA;LIMA;SAN JUAN DE LURIGANCHO;2;Otro;DIRECTOR(A);Enseñanza pre-escolar y primaria;1992;Operativa;Disminuyó;50;De 41 a 60%;Presencial y delivery;0;0;0;0;0;0;1;0;0;0;0;0;;0;De 61 a 80%;Solo trabajo remoto;Mediana empresa
146685;LIMA;LIMA;CHORRILLOS;2;Administrador/a;;Enseñanza secundaria de formación general;1993;Parcialmente operativa;Disminuyó;23;Hasta 20%;Presencial y delivery;1;0;0;0;0;0;1;1;1;1;0;1;MENOS INGRESOS POR DISMINUCION DE PRECIOS;0;De 81 a 100%;Solo trabajo remoto;Mediana empresa
146720;LIMA;LIMA;LA MOLINA;1;Propietario/a;;Otras actividades de servicio de comidas;1996;Parcialmente operativa;Disminuyó;50;De 41 a 60%;Solo online;1;1;0;0;0;0;0;0;0;0;0;0;;0;De 41 a 60%;Solo trabajo presencial;Mediana empresa
146729;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1;Contador/a;;Actividades de restaurantes y de servicio móvil de comidas;2011;Parcialmente operativa;NO REALIO VENTAS;;Hasta 20%;;0;1;0;0;0;0;1;0;0;1;1;0;;0;Hasta 20%;Trabajo mixto;Mediana empresa
146738;LIMA;LIMA;SANTIAGO DE SURCO;2;Administrador/a;;Actividades de restaurantes y de servicio móvil de comidas;2006;Inoperativa;NO REALIO VENTAS;;Hasta 20%;;1;1;1;1;0;0;1;1;0;1;1;0;;0;Hasta 20%;Trabajo mixto;Mediana empresa
146739;LIMA;LIMA;LA VICTORIA;1;Gerente/a general;;Actividades de restaurantes y de servicio móvil de comidas;2008;Operativa;NO REALIO VENTAS;;Hasta 20%;;1;1;0;0;0;0;1;0;0;1;1;0;;0;Hasta 20%;Trabajo mixto;Gran empresa
146743;LIMA;LIMA;SAN MIGUEL;1;Contador/a;;Actividades de restaurantes y de servicio móvil de comidas;2004;Parcialmente operativa;Disminuyó;80;Hasta 20%;Solo a traves de delivery;0;1;0;0;0;0;0;0;0;0;0;0;;0;Hasta 20%;Trabajo mixto;Mediana empresa
146774;LIMA;LIMA;SAN MIGUEL;1;Contador/a;;Actividades de servicio de bebidas;2014;Inoperativa;NO REALIO VENTAS;;Hasta 20%;;1;1;0;1;0;0;1;1;0;1;1;0;;0;Hasta 20%;Solo trabajo presencial;Mediana empresa
147009;LIMA;LIMA;MIRAFLORES;1;Otro;ASESOR(A);Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en comercios especializados;2016;Parcialmente operativa;Disminuyó;40;De 41 a 60%;Solo de forma presencial;1;0;0;0;0;0;0;0;1;0;1;0;;0;De 41 a 60%;Solo trabajo presencial;Mediana empresa
147016;LIMA;LIMA;LIMA;1;Otro;SOCIO(A);Venta al por menor de ordenadores, equipo periférico, programas de informática y equipo de telecomunicaciones en comercios especializados;2008;Parcialmente operativa;NO REALIO VENTAS;;Hasta 20%;;0;0;0;0;0;0;0;0;0;1;1;0;;0;Hasta 20%;Trabajo mixto;Mediana empresa
